postid,lang,EventYear,postdate,articleid,Existing,TimeToFirstEdit,Topic,EventLocation,Edits30ByAll,Edits30ByRegistered,UniqueEditors30,UniqueRegEditors30,GiniEditCount,GiniEditSize,EditsSize30,EditsSizeReg,EditsSize30log,Gini_noIP,Gini
3,en,2011,3/24/11,31142430,1,0,3,Arabic,714,552,250,156,0.157048319, ,31188,24520,10.34778868,0.467672678,0.472222222
3,ar,2011,3/24/11,1027202,0,3,3,Arabic,12,12,7,6,0.47979798, ,136,136,4.912654886,0.614864865,0.652631579
3,zh,2011,3/24/11,1543200,0,0,3,Arabic,11,9,8,6,0.612127972, ,87,59,4.465908119,0.482544237,0.461900816
3,es,2011,3/24/11,4562108,0,0,3,Arabic,163,147,45,36,0.127600899, ,5358,1192,8.58634605,0.511904762,0.166666667
5,en,2011,3/24/11,61632,1,0,2,US,43,23,30,16,0.562091775, ,1483,1768,7.301822342,0.631944444,0.541262136
5,ar,2011,3/24/11,1053386,0, ,2,US,0,0,0,0, , ,0,0,0,0.158730159,0.158730159
5,zh,2011,3/24/11,1546137,0,0,2,US,10,10,4,3,0.389090909, ,3853,3853,8.256607345,0.482544237,0.461900816
5,es,2011,3/24/11,941015,1,0,2,US,13,10,8,6,0.516568047, ,2417,2399,7.790282381,0.614864865,0.652631579
8,en,2011,3/21/11,30866089,1,0,3,Arabic,108,106,41,39,0.177940672, ,4265,4231,8.35819746,0.467672678,0.515384615
8,ar,2011,3/21/11,1027801,0,0,3,Arabic,11,11,8,7,0.661998776, ,244,244,5.497168225,0.614864865,0.652631579
11,en,2011,4/27/11,7171184,1,0,2,English,62,38,34,17,0.375650364, ,4843,4108,8.485289642,0.574034767,0.35
11,ar,2011,4/27/11,4542942,0, ,2,English,0,0,0,0, , ,0,0,0,0.511904762,0.166666667
11,zh,2011,4/27/11,1017171,1,1,2,English,8,8,5,4,0.502016129, ,400,400,5.991464547,0.614864865,0.652631579
11,es,2011,4/27/11,4682049,0, ,2,English,0,0,0,0, , ,0,0,0,0.541666667,0.166666667
12,en,2011,4/27/11,24093,1,0,1,Arabic,27,25,18,16,0.520576132, ,2088,2038,7.643961949,0,0
12,ar,2011,4/27/11,2486,1,20,1,Arabic,1,1,1,0,0, ,0,0,0,0,0
12,zh,2011,4/27/11,52579,1,20,1,Arabic,1,1,1,0,0, ,0,0,0,0.631944444,0.541262136
12,es,2011,4/27/11,30015,1,20,1,Arabic,2,2,2,1,1, ,142,142,4.955827058,0,0
15,en,2011,4/23/11,18501416,1,0,3,Chinese,148,90,48,27,0.153067933, ,8914,93042,9.095378354,0.296875,0.515384615
15,zh,2011,4/23/11,1620720,0, ,3,Chinese,0,0,0,0, , ,0,0,0,0.357226792,0.316166761
15,es,2011,4/23/11,1637601,1,1,3,Chinese,6,6,4,3,0.556681682, ,116,116,4.753590191,0.357226792,0.316166761
18,en,2011,4/20/11,30999052,1,0,5,Arabic,477,412,92,52,0.052750944, ,30456,29443,10.3240383,0.467672678,0.515384615
18,ar,2011,4/20/11,1020003,1,2,5,Arabic,10,10,4,3,0.355882353, ,5624,5624,8.634798433,0.614864865,0.652631579
18,zh,2011,4/20/11,1692156,0, ,5,Arabic,0,0,0,0, , ,0,0,0,0.357226792,0.316166761
18,es,2011,4/20/11,4536546,1,2,5,Arabic,17,12,8,5,0.387666572, ,671,-439,6.508769137,0.511904762,0.166666667
20,en,2011,4/19/11,38301,1,0,3,Spanish,76,76,31,30,0.109966501, ,4915,4915,8.500047033,0.321787102,0.319504962
20,ar,2011,4/19/11,4302,1,0,3,Spanish,3,3,3,2,0.284599699, ,46,46,3.828641396,0,0
20,zh,2011,4/19/11,39565,1,0,3,Spanish,13,7,9,6,0.103193266, ,294,232,5.683579767,0.631944444,0.541262136
20,es,2011,4/19/11,143948,1,0,3,Spanish,41,41,11,10,0.153399131, ,2922,2922,7.980023592,0.14,0.201515152
21,en,2011,4/17/11,25844590,1,0,3,Others,336,264,45,34,0.040166248, ,46750,28343,10.75256953,0.467672678,0.515384615
21,ar,2011,4/17/11,1137813,0, ,3,Others,0,0,0,0, , ,0,0,0,0.461538462,0.461538462
21,zh,2011,4/17/11,1797089,0, ,3,Others,0,0,0,0, , ,0,0,0,0,0.346153846
21,es,2011,4/17/11,4589133,0,0,3,Others,55,55,7,6,0.048979732, ,4709,4709,8.45723085,0.511904762,0.166666667
22,en,2011,4/16/11,1492447,1,0,3,Arabic,51,32,32,19,0.46150519, ,3289,589,8.098338846,0.482544237,0.461900816
22,ar,2011,4/16/11,125337,1,0,3,Arabic,23,18,12,7,0.404379332, ,1564,457,7.355001921,0.222222222,0.300724638
22,zh,2011,4/16/11,130419,1,0,3,Arabic,12,10,10,8,0.779411765, ,645,675,6.469250317,0.14,0.201515152
22,es,2011,4/16/11,1779735,1,0,3,Arabic,8,7,7,6,0.845734127, ,553,486,6.315358002,0,0.346153846
25,en,2011,4/13/11,51884,1,0,2,Arabic,23,23,10,9,0.212432409, ,6619,6619,8.79769958,0.631944444,0.541262136
25,ar,2011,4/13/11,2393,1,0,2,Arabic,62,30,39,10,0.430524061, ,0,-1034,0,0,0
25,zh,2011,4/13/11,130418,1,4,2,Arabic,12,10,7,5,0.410059172, ,3405,3469,8.133000219,0.28,0.182692308
25,es,2011,4/13/11,181873,1,0,2,Arabic,5,3,5,3,0.369090909, ,0,21,0,0.10598161,0.129888028
27,en,2011,4/11/11,147237,1,0,2,Others,146,101,89,52,0.250762574, ,3859,1857,8.258163362,0.10598161,0.129888028
27,ar,2011,4/11/11,5569,1,0,2,Others,10,9,6,5,0.415977961, ,208,159,5.33753808,0,0
27,zh,2011,4/11/11,320036,1,0,2,Others,12,12,6,5,0.227285936, ,419,419,6.03787092,0.174603175,0
27,es,2011,4/11/11,81771,1,0,2,Others,25,14,16,7,0.316168023, ,1169,437,7.063903961,0.631944444,0.541262136
30,en,2011,4/9/11,364646,1,0,2,US,241,201,85,56,0.159510657, ,16925,57471,9.736547098,0.607231699,0.560214791
30,ar,2011,4/9/11,937261,1,0,2,US,38,37,5,4,0.072176054, ,9297,9297,9.137447046,0.614864865,0.652631579
30,zh,2011,4/9/11,712110,1,0,2,US,13,11,9,8,0.570071629, ,537,530,6.285998095,0.238636364,0.256410256
