postid,lang,postyear,postdatetime,pageid,article_firstedit_ever_revid,article_firstedit_ever_date,article_firstedit_ever_timestamp,article_firstedit_ever_size,totaledits_byall,totaledits_byregistered,unique_all_editors,unique_registered_editors,total_size_added,sizeadded_byregistered,firstedit_revid,firstedit_timestamp,endfirstday_revid,endfirstweek_revid,firstmonth_revid,topic,category,updated_topic
3,en,2011,3/24/11,31142430,418134341,3/10/11,2011-03-10T14:47:29Z,7911,714,552,250,156,31188,24520,420411617,3/24/11 0:17,420579863,421563008,425533024,4,Society and social science,3
3,ar,2011,3/24/11,1027202,6517450,3/18/11,2011-03-18T00:49:02Z,2641,12,12,7,6,136,136,6564712,3/27/11 11:26,6569255,6620640,6647300,4,Society and social science,3
3,zh,2011,3/24/11,1543200,16041756,3/19/11,2011-03-19T22:18:05Z,2568,11,9,8,6,87,59,16080688,3/24/11 14:23,16080688,16136271,16224351,4,Society and social science,3
3,es,2011,3/24/11,4562108,44949764,3/19/11,2011-03-19T21:59:30Z,10371,163,147,45,36,5358,1192,45056464,3/24/11 0:00,45077280,45237527,45815245,4,Society and social science,3
5,en,2011,3/24/11,61632,203615,7/12/02,2002-07-12T14:09:37Z,674,43,23,30,16,1483,1768,420445725,3/24/11 5:46,420559576,421476480,424684918,5,Person,2
5,ar,2011,3/24/11,1053386,6787836,5/6/11,2011-05-06T09:45:49Z,12150,0,0,0,0,0,0,0,0,0,0,0,5,Person,2
5,zh,2011,3/24/11,1546137,16082783,3/24/11,2011-03-24T20:49:28Z,359,10,10,4,3,3853,3853,16082783,3/24/11 20:49,16082794,16132414,16150310,5,Person,2
5,es,2011,3/24/11,941015,8803040,5/15/07,2007-05-15T17:02:58Z,995,13,10,8,6,2417,2399,45075324,3/24/11 19:58,45076926,45222976,45810770,5,Person,2
8,en,2011,3/21/11,30866089,413854090,2/14/11,2011-02-14T10:04:58Z,425,108,106,41,39,4265,4231,419895107,3/21/11 1:02,420046751,420791565,423919976,4,Society and social science,3
8,ar,2011,3/21/11,1027801,6522289,3/19/11,2011-03-19T07:59:51Z,1544,11,11,8,7,244,244,6536163,3/21/11 15:40,6536163,6570949,6712352,4,Society and social science,3
