postid,postyear,postdate,en_title,en_pageid,ar,ar_pageid,ar_title,zh,zh_pageid,zh_title,es,es_pageid,es_title,topic,category,updated_topic
3,2011,24-Mar,2011 military intervention in Libya,31142430,TRUE,1027202,التدخل العسكري في ليبيا,TRUE,1543200,2011年多国武装干涉利比亚,TRUE,4562108,Intervención militar en Libia de 2011,4,Society and social science,3
5,2011,24-Mar,John Milnor,61632,TRUE,1053386,جون ملنور,TRUE,1546137,约翰·米尔诺,TRUE,941015,John Milnor,5,Person,2
8,2011,21-Mar,"Egyptian constitutional referendum, 2011",30866089,TRUE,1027801,استفتاء تعديل الدستور المصري 2011,FALSE,,,FALSE,,,4,Society and social science,3
11,2011,27-Apr,Patrick Chan,7171184,TRUE,4542942,باتريك تشن,TRUE,1017171,陈伟群,TRUE,4682049,Patrick Chan,5,Person,2
12,2011,27-Apr,Palestinian National Authority,24093,TRUE,2486,السلطة الوطنية الفلسطينية,TRUE,52579,巴勒斯坦民族权力机构,TRUE,30015,Autoridad Nacional Palestina,6,Society and social science,1
15,2011,23-Apr,Cambodian–Thai border dispute,18501416,FALSE,,,TRUE,1620720,泰柬边境争端,TRUE,1637601,Disputa del templo Preah Vihear,4,Society and social science,3
18,2011,20-Apr,Battle of Misrata,30999052,TRUE,1020003,معركة مصراتة,TRUE,1692156,米苏拉塔之战,TRUE,4536546,Batalla de Misurata,0,Society and social science,5
20,2011,19-Apr,Fidel Castro,38301,TRUE,4302,فيدل كاسترو,TRUE,39565,菲德尔·卡斯特罗,TRUE,143948,Fidel Castro,4,Person,3
21,2011,17-Apr,"Finnish parliamentary election, 2011",25844590,TRUE,1137813,الانتخابات البرلمانية الفنلندية 2011,TRUE,1797089,2011年芬蘭議會選舉,TRUE,4589133,Elecciones parlamentarias de Finlandia de 2011,1,Society and social science,3
22,2011,16-Apr,National Democratic Party (Egypt),1492447,TRUE,125337,الحزب الوطني الديمقراطي (مصر),TRUE,130419,民族民主党 (埃及),TRUE,1779735,Partido Nacional Democrático (Egipto),4,Society and social science,3
25,2011,13-Apr,Hosni Mubarak,51884,TRUE,2393,حسني مبارك,TRUE,130418,穆罕默德·胡斯尼·穆巴拉克,TRUE,181873,Hosni Mubarak,5,Person,2
27,2011,11-Apr,Laurent Gbagbo,147237,TRUE,5569,لوران غباغبو,TRUE,320036,洛朗·巴博,TRUE,81771,Laurent Gbagbo,5,Person,2
30,2011,9-Apr,Sidney Lumet,364646,TRUE,937261,سيدني لوميت,TRUE,712110,薛尼·盧梅,TRUE,69327,Sidney Lumet,5,Person,2
31,2011,9-Apr,Alphen aan den Rijn shopping mall shooting,31445634,TRUE,1040352,إطلاق النار على المركز التجاري في ألفين آن دي راين,FALSE,,,TRUE,4578190,Tiroteo en el centro comercial de Alphen aan den Rijn,0,Other,5
33,2011,7-Apr,Ai Weiwei,8572928,TRUE,1289510,آي ويوي,TRUE,884813,艾未未,TRUE,4290342,Ai Weiwei,5,Person,2
34,2011,7-Apr,Rio de Janeiro school shooting,31427533,TRUE,1038204,مذبحة مدرسة ريو دي جانيرو,FALSE,,,TRUE,4574451,Masacre de Realengo de 2011,0,Other,5
36,2011,6-Apr,2011 Mediterranean Sea migrant shipwreck,31418294,FALSE,,,TRUE,5946984,2011年地中海移民海难,FALSE,,,0,None,5
37,2011,5-Apr,"Andorran parliamentary election, 2011",30950046,FALSE,,,FALSE,,,TRUE,4800369,Elecciones parlamentarias de Andorra de 2011,1,Society and social science,3
40,2011,4-Apr,2011 United Nations Bombardier CRJ-100 crash,31387099,TRUE,3098582,تحطم طائرة الأمم المتحدة,FALSE,,,TRUE,4571127,Accidente del Bombardier CRJ-100 de Naciones Unidas,0,Society and social science,5
42,2011,3-Apr,Air France Flight 447,23042123,TRUE,602372,الخطوط الجوية الفرنسية رحلة 447,TRUE,1060624,法國航空447號班機空難,TRUE,2540616,Vuelo 447 de Air France,0,Other,5
